x,y,rho,V,Ex,Ey
0.0078125,0.8984375,1.09756810571e-24,1.02899980479e-05,-0.00131613742345,0.000110053136809
0.0078125,0.90625,3.12163778006e-25,9.43788234371e-06,-0.00120713388577,0.000108155755907
0.0078125,0.9140625,8.6642434241e-26,8.60006436181e-06,-0.00109996269988,0.000106395163254
0.0078125,0.921875,2.34679897568e-26,7.77545791787e-06,-0.000994484541414,0.000104775552752
0.0078125,0.9296875,6.20323511272e-27,6.96294635006e-06,-0.000890556212564,0.000103300560434
0.0078125,0.9375,1.60013896658e-27,6.16138666108e-06,-0.00078803116977,0.00010197331734
0.0078125,0.9453125,4.02804457602e-28,5.36961326662e-06,-0.000686760000972,0.000100796497336
0.0078125,0.953125,9.89527668314e-29,4.5864413902e-06,-0.000586590857596,9.97723598307e-05
0.0078125,0.9609375,2.37224054057e-29,3.81067014426e-06,-0.000487369846368,9.89027873828e-05
0.0078125,0.96875,5.54991858661e-30,3.04108533735e-06,-0.000388941386102,9.81893182068e-05
0.0078125,0.9765625,1.26710209388e-30,2.27646204728e-06,-0.000291148534525,9.76331736009e-05
0.0078125,0.984375,2.8231484296e-31,1.51556699983e-06,-0.000193833290234,9.72352803293e-05
0.0078125,0.9921875,6.13836802779e-32,7.57160792138e-07,-9.6836874798e-05,9.69962879894e-05
0.015625,0.0078125,1.76668114399e-31,1.51307616872e-06,-9.65976275639e-05,-0.000193833290234
0.015625,0.015625,8.12529173011e-31,3.02864515991e-06,-0.000193355175636,-0.000194311659727
0.015625,0.0234375,3.64684125591e-30,4.54919585195e-06,-0.000290432319711,-0.000195108095868
0.015625,0.03125,1.59731975555e-29,6.07720915784e-06,-0.000387988240334,-0.000196221311844
0.015625,0.0390625,6.82753561378e-29,7.61515384951e-06,-0.00048618136331,-0.000197649471494
0.015625,0.046875,2.84795545844e-28,9.16548214993e-06,-0.000585169085096,-0.000199390154604
0.015625,0.0546875,1.15930983078e-27,1.07306250152e-05,-0.000685107478397,-0.000201440312174
0.015625,0.0625,4.60535329134e-27,1.23129870277e-05,-0.000786150972925,-0.000203796211592
0.015625,0.0703125,1.78535051267e-26,1.39149408213e-05,-0.000888452006264,-0.000206453371645
0.015625,0.078125,6.75431235191e-26,1.55388209596e-05,-0.000992160639725,-0.00020940648732
0.015625,0.0859375,2.49365228917e-25,1.71869171857e-05,-0.00109742413404,-0.000212649344356
0.015625,0.09375,8.98437268575e-25,1.88614669652e-05,-0.00120438647976,-0.000216174723567
0.015625,0.1015625,3.15890619106e-24,2.05646472414e-05,-0.00131318787714,-0.000219974295
0.015625,0.109375,1.08388400286e-23,2.22985653245e-05,-0.00142396416048,-0.000224038502094
0.015625,0.1171875,3.6293260962e-23,2.40652488367e-05,-0.00153684616178,-0.000228356436076
0.015625,0.125,1.18594973873e-22,2.58666346382e-05,-0.00165195900886,-0.000232915701006
0.015625,0.1328125,3.7818446363e-22,2.77045566649e-05,-0.00176942135322,-0.000237702270013
0.015625,0.140625,1.17689628097e-21,2.95807326072e-05,-0.00188934452326,-0.000242700333496
0.015625,0.1484375,3.57412555642e-21,3.14967493757e-05,-0.00201183159883,-0.000247892140266
0.015625,0.15625,1.05925013172e-20,3.34540472988e-05,-0.00213697640364,-0.00025325783295
0.015625,0.1640625,3.06354564786e-20,3.54539030156e-05,-0.00226486241279,-0.000258775279224
0.015625,0.171875,8.64663830271e-20,3.74974110367e-05,-0.00239556157343,-0.000264419900916
0.015625,0.1796875,2.38159185475e-19,3.95854639674e-05,-0.00252913303769,-0.000270164503367
0.015625,0.1875,6.40154035507e-19,4.17187314018e-05,-0.00266562180839,-0.00027597910798
0.015625,0.1953125,1.67918577408e-18,4.38976375296e-05,-0.00280505729931,-0.000281830791372
0.015625,0.203125,4.2984325109e-18,4.6122337517e-05,-0.00294745181404,-0.000287683535168
0.015625,0.2109375,1.07378809768e-17,4.83926927666e-05,-0.0030927989491,-0.000293498091041
0.015625,0.21875,2.61772587941e-17,5.07082451895e-05,-0.00324107192989,-0.000299231866305
0.015625,0.2265625,6.22768811379e-17,5.30681906776e-05,-0.00339222189049,-0.000304838835982
0.015625,0.234375,1.44586135573e-16,5.54713520018e-05,-0.00354617611177,-0.000310269487972
