step,id,x,y,vx,vy
4260,0,0.501676,0.499456,0.00327366,0.00746616
4260,1,0.410865,0.640404,-0.203337,-0.0104617
4290,0,0.501723,0.499569,0.00297463,0.00761016
4290,1,0.407888,0.640136,-0.193661,-0.0253439
4320,0,0.501765,0.499685,0.00266724,0.00773545
4320,1,0.405056,0.639646,-0.183812,-0.0399561
4350,0,0.501803,0.499801,0.00235194,0.0078415
4350,1,0.402374,0.638938,-0.173794,-0.0543217
4380,0,0.501836,0.49992,0.00202913,0.00792781
4380,1,0.399843,0.638017,-0.163597,-0.0684592
4410,0,0.501864,0.500039,0.00169954,0.00799385
4410,1,0.397467,0.636885,-0.15321,-0.0823852
4440,0,0.501887,0.500159,0.00136799,0.00803955
4440,1,0.395248,0.635546,-0.142634,-0.0961198
4470,0,0.501905,0.50028,0.00103638,0.00806547
4470,1,0.393189,0.634003,-0.131855,-0.109679
4500,0,0.501918,0.500401,0.000705223,0.00807224
4500,1,0.391293,0.632257,-0.12086,-0.123076
4530,0,0.501926,0.500522,0.000374955,0.0080605
4530,1,0.389564,0.630311,-0.109629,-0.136323
4560,0,0.501929,0.500643,4.60567e-05,0.00803091
4560,1,0.388006,0.628168,-0.0981534,-0.149434
4590,0,0.501927,0.500763,-0.000281059,0.00798415
4590,1,0.386621,0.625829,-0.086421,-0.162423
4620,0,0.50192,0.500882,-0.000606034,0.00792088
4620,1,0.385415,0.623296,-0.0744137,-0.1753
4650,0,0.501909,0.501001,-0.000928583,0.00784169
4650,1,0.38439,0.62057,-0.0621045,-0.188069
4680,0,0.501893,0.501118,-0.00124838,0.00774726
4680,1,0.383553,0.617654,-0.0494769,-0.200745
4710,0,0.501872,0.501233,-0.00156514,0.00763822
4710,1,0.382908,0.614548,-0.036507,-0.213337
4740,0,0.501846,0.501347,-0.00187864,0.00751517
4740,1,0.38246,0.611254,-0.0231647,-0.225848
4770,0,0.501815,0.501458,-0.0021886,0.00737878
4770,1,0.382215,0.607773,-0.00942919,-0.238296
4800,0,0.50178,0.501568,-0.00249487,0.00722957
4800,1,0.382179,0.604106,0.00474029,-0.250676
4830,0,0.50174,0.501675,-0.00279725,0.00706814
4830,1,0.382359,0.600253,0.0193752,-0.263003
4860,0,0.501696,0.50178,-0.00309561,0.00689499
